rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.9998205473306416,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=23001375 KZT; контрагентов 104; внешних кластеров 13."
2,100000003016635100,coordinator,0.9992821893225661,"Приоритет проверки: достижим из 6 seed; max(вход,выход)=9414081 KZT; контрагентов 75; внешних кластеров 12."
3,100000003684369100,coordinator,0.9991027366532077,"Приоритет проверки: достижим из 9 seed; max(вход,выход)=8588655 KZT; контрагентов 85; внешних кластеров 9."
4,100000004400305100,coordinator,0.9989232839838492,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=5830181 KZT; контрагентов 87; внешних кластеров 9."
5,100000000437046100,coordinator,0.9985195154777927,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=7606224 KZT; контрагентов 48; внешних кластеров 7."
6,100000008603629100,coordinator,0.9981157469717362,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=4986156 KZT; контрагентов 73; внешних кластеров 7."
7,100000008547948100,coordinator,0.9969941677882458,"Приоритет проверки: достижим из 8 seed; max(вход,выход)=5185600 KZT; контрагентов 30; внешних кластеров 6."
8,100000006866783100,coordinator,0.9969493046209061,"Приоритет проверки: достижим из 6 seed; max(вход,выход)=3948037 KZT; контрагентов 72; внешних кластеров 13."
9,100000008710791100,coordinator,0.9969044414535666,"Приоритет проверки: достижим из 9 seed; max(вход,выход)=5521511 KZT; контрагентов 26; внешних кластеров 3."
10,100000000343175100,coordinator,0.9968147151188873,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=4000039 KZT; контрагентов 39; внешних кластеров 10."
11,100000008489922100,coordinator,0.9963212202781516,"Приоритет проверки: достижим из 8 seed; max(вход,выход)=3789900 KZT; контрагентов 38; внешних кластеров 6."
12,100000008477350100,coordinator,0.9961866307761328,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=3374866 KZT; контрагентов 49; внешних кластеров 4."
13,100000005933757100,coordinator,0.9948407357559443,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=3002628 KZT; контрагентов 36; внешних кластеров 10."
14,100000003880331100,distributor,0.9940331987438313,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=3904908 KZT; контрагентов 16; внешних кластеров 5."
15,100000007442518100,coordinator,0.9935397039030955,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=4419999 KZT; контрагентов 14; внешних кластеров 4."
16,100000004156082100,coordinator,0.9918797667115298,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=2319556 KZT; контрагентов 30; внешних кластеров 3."
17,100000003242289100,coordinator,0.9918349035441902,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=2377741 KZT; контрагентов 25; внешних кластеров 4."
18,100000001857829100,coordinator,0.9914759982054733,"Приоритет проверки: достижим из 7 seed; max(вход,выход)=2390993 KZT; контрагентов 20; внешних кластеров 5."
19,100000008547844100,coordinator,0.9901749663526245,"Приоритет проверки: достижим из 8 seed; max(вход,выход)=2042199 KZT; контрагентов 21; внешних кластеров 5."
20,100000008466579100,coordinator,0.9887842081650964,"Приоритет проверки: достижим из 8 seed; max(вход,выход)=1933000 KZT; контрагентов 19; внешних кластеров 4."
